timestamp,open,high,low,close,adj close,volume,div amt
2009-10-30,42.6400,49.8800,40.2800,45.5500,36.0599,136804900,0.0000
2009-09-30,43.3700,47.0400,40.3600,42.9200,33.9779,117393500,0.2800
2009-08-31,44.4400,47.0000,42.1900,43.6000,34.2907,103159000,0.0000
2009-07-31,40.3100,44.2700,34.9000,43.7400,34.4008,101310600,0.0000
2009-06-30,44.7400,47.6600,38.4700,39.9500,31.4200,117999700,0.2800
2009-05-29,41.2700,47.9800,40.5000,43.4700,33.9608,120543300,0.0000
2009-04-30,32.1000,42.9800,31.8800,41.2600,32.2343,123559700,0.0000
2009-03-31,26.7500,36.1600,24.5100,32.8700,25.6796,152397200,0.2800
2009-02-27,33.8600,42.3600,26.4000,27.4900,21.3064,141543300,0.0000
2009-01-30,38.7400,46.7600,33.8500,34.7400,26.9256,120535800,0.0000
2008-12-31,33.8000,41.5300,29.1000,38.3200,29.7003,112757500,0.2800
2008-11-28,38.5000,42.8000,28.5700,34.8100,26.7818,120000700,0.0000
2008-10-31,49.4900,49.4900,28.5000,38.5600,29.6669,236711400,0.0000
2008-09-30,70.6800,71.4400,46.1800,49.5000,38.0839,118272200,0.2800
2008-08-29,70.7100,71.3700,60.9900,70.5700,54.0211,113859200,0.0000
2008-07-31,70.9300,74.1800,63.5100,70.1600,53.7073,138037800,0.0000
2008-06-30,81.3300,83.6500,70.1600,72.1300,55.2153,116451000,0.2800
2008-05-30,84.1100,90.7300,78.6300,81.3400,62.0226,141147800,0.0000
2008-04-30,82.3100,94.8900,79.3000,84.0700,64.1043,111346100,0.0000
2008-03-31,86.3900,89.7500,76.5500,80.4400,61.3364,106171700,0.2500
2008-02-29,88.9100,90.4900,80.1500,85.2100,64.7690,100680900,0.0000
2008-01-31,93.3300,94.7658,71.2000,87.5600,66.5552,143209400,0.0000
2007-12-31,170.6100,179.9000,82.0300,93.1200,70.7815,78885850,0.2500
2007-11-30,152.5000,174.7500,140.3500,171.8000,65.1133,65195400,0.0000
2007-10-31,148.6100,157.3000,141.0000,154.9000,58.7081,52176300,0.0000
2007-09-28,136.7200,149.9000,132.5500,148.4200,56.2522,49202300,0.5000
2007-08-31,120.0200,137.1000,113.9100,136.0600,51.3918,73143800,0.0000
